country,Albania,Andorra,Armenia,Austria,Azerbaijan,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Italy,Kazakhstan,Kosovo,Latvia,Liechtenstein,Lithuania,Luxembourg,Malta,Moldova,Monaco,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russia,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Turkey,Ukraine,United Kingdom
16.05.2020,0.0,4.081632653061225,5.769230769230769,0.15923566878980894,0.0,2.564102564102564,0.5134501618484206,0.78125,2.941176470588235,0.0,0.0,0.3389830508474576,1.1173184357541899,0.0,1.3651877133105803,0.0,0.0,0.5191845004432063,1.25,1.3574660633484164,0.0,0.9881422924901186,0.4840240430243594,0.0,0.0,0.0,0.0,1.8518518518518516,0.0,0.0,2.4752475247524752,0.0,0.0,0.47686329918756626,1.0309278350515463,0.0,0.8820286659316428,1.0924369747899159,2.2429906542056073,4.921422663358147,0.0,1.3333333333333335,3.7037037037037033,0.0,0.3787464947740267,1.3444951801116183,0.05324813631522897,1.0110974106041923,4.411764705882353,1.2297289210699538
17.05.2020,0.0,0.0,9.090909090909092,0.0,8.333333333333332,3.125,0.5219322598556357,3.10077519379845,2.857142857142857,0.0,0.0,0.6756756756756757,0.7366482504604052,0.0,0.33670033670033667,2.103007409559785,0.0,0.30234315948601664,0.6172839506172839,0.6696428571428571,0.0,0.6523157208088715,0.45650599754431254,0.0,0.0,0.0,0.0,1.8181818181818181,2.8846153846153846,0.0,1.932367149758454,0.0,0.0,0.17577781683951485,3.061224489795918,0.0,1.092896174863388,1.2468827930174564,1.1882998171846435,3.705163579030351,0.0,0.8771929824561403,0.0,0.9708737864077669,0.0,1.5269086357947435,0.10643959552953698,1.07421875,3.420523138832998,0.19803150769958322
18.05.2020,0.0,0.0,1.6666666666666667,0.0,2.564102564102564,3.6363636363636362,0.30932390631904555,0.0,1.8518518518518516,0.0,0.0,-0.33557046979865773,0.18281535648994515,1.5873015873015872,0.6711409395973155,0.4660097470740991,0.0,0.5149459934689776,1.2269938650306749,2.4390243902439024,0.0,0.2592352559948153,0.310267017675818,2.941176470588235,0.0,0.0,0.0,5.357142857142857,0.0,0.0,2.843601895734597,0.0,0.0,0.24565713283032112,2.9702970297029703,0.43103448275862066,1.1891891891891893,1.0673234811165846,1.1743450767841013,3.458760927404029,0.0,0.43478260869565216,0.0,0.0,0.5296956064289083,0.9861932938856016,0.2658160552897395,0.748792270531401,4.085603112840467,0.43067846607669613
19.05.2020,0.0,0.0,4.918032786885246,0.47694753577106513,2.5,2.3391812865497075,0.30837004405286345,0.7518796992481203,1.8181818181818181,1.0526315789473684,0.0,1.6835016835016834,0.5474452554744526,0.0,0.33333333333333337,-0.7683591813610934,0.0,0.9746345120579782,0.0,1.0822510822510822,0.0,0.904977375565611,0.5061392820320555,0.0,0.0,10,0.0,1.694915254237288,1.8691588785046727,0.0,1.8433179723502304,0.0,0.0,0.3675827061088745,1.9230769230769231,0.0,1.282051282051282,1.2997562956945572,1.5178571428571428,4.224834680382072,0.0,1.2987012987012987,0.0,0.0,0.24901656501497707,1.318359375,0.2651113467656416,0.6713018460800768,2.4299065420560746,1.471538506726194
20.05.2020,0.0,0.0,4.6875,0.15822784810126583,4.878048780487805,2.2857142857142856,0.461133069828722,1.4925373134328357,3.571428571428571,0.0,0.0,0.6622516556291391,0.5444646098003629,0.0,0.9966777408637874,0.39250669045495096,0.0,0.7796064843459968,0.6060606060606061,0.6423982869379015,0.0,0.6406149903907752,0.5004818303335509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.167420814479638,0.0,0.0,0.5755144750610395,3.7735849056603774,0.4291845493562232,1.4767932489451476,1.2830793905372895,0.8795074758135445,4.758547761720127,0.0,0.4273504273504274,0.0,0.9615384615384616,0.3959968320253438,1.3012048192771084,0.052882072977260705,0.5477494641581329,2.9197080291970803,0.9523258170029235
21.05.2020,0.0,0.0,4.477611940298507,0.0,2.3255813953488373,3.35195530726257,0.39344262295081966,2.941176470588235,3.4482758620689653,1.0416666666666665,0.0,0.6578947368421052,1.263537906137184,0.0,0.6578947368421052,0.29500622001066285,0.0,0.7244597249508841,1.2048192771084338,0.6382978723404255,0.0,0.7638446849140674,0.48252397154345805,0.0,0.0,4.761904761904762,0.0,1.6666666666666667,0.0,0.0,2.1929824561403506,0.0,0.0,0.468181029998266,0.9090909090909091,0.4273504273504274,1.0395010395010396,1.1084718923198733,0.7846556233653008,4.27321668909825,0.0,0.851063829787234,0.0,0.9523809523809524,0.18646012621916236,1.3320647002854424,0.3171247357293869,0.63950734249171,2.6595744680851063,0.7827732538135108
22.05.2020,0.0,0.0,5.714285714285714,0.315955766192733,4.545454545454546,2.7027027027027026,0.28303940779446984,0.7142857142857143,4.166666666666666,2.0618556701030926,0.0,1.9607843137254901,0.0,0.0,0.0,0.2622439577574598,0.0,0.3047665488236011,0.5952380952380952,0.6342494714587738,0.0,0.5685407454200885,0.40017238194914734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7167381974248928,0.0,0.0,0.22437003797031413,0.9009009009009009,0.0,1.02880658436214,0.9397024275646046,0.8650519031141869,4.84027105517909,0.0,0.0,0.0,0.0,2.462419470293486,1.3145539906103285,0.26343519494204426,0.6354436337961874,1.5544041450777202,0.8279040655495177
23.05.2020,0.0,0.0,4.054054054054054,0.6299212598425197,6.521739130434782,2.1052631578947367,0.2713851498046027,0.0,0.8,0.0,0.0,0.641025641025641,0.0,0.0,0.0,0.151986427258589,0.0,0.4010695187165776,1.183431952662722,1.2605042016806722,0.0,0.7537688442211055,0.3648516065734609,0.0,0.0,0.0,0.0,3.278688524590164,0.0,0.0,2.109704641350211,0.0,0.0,0.39607370415016363,0.8928571428571428,0.0,1.120162932790224,1.008533747090768,0.8576329331046313,4.27823945829486,2.4390243902439024,0.42194092827004215,0.0,0.0,0.17465418471426575,1.0194624652455977,0.10509721492380451,0.7483629560336763,2.891156462585034,0.6207674943566591
24.05.2020,3.225806451612903,0.0,5.194805194805195,0.1564945226917058,0.0,2.5773195876288657,0.4655191079354769,2.127659574468085,3.1746031746031744,0.0,0.0,0.3184713375796179,0.17825311942959002,0.0,0.32679738562091504,0.12352214575613199,0.0,0.2663115845539281,0.0,0.8298755186721992,0.0,0.24937655860349126,0.1527417137620284,0.0,0.0,0.0,0.0,0.0,0.9174311926605505,0.0,3.3057851239669422,0.0,0.0,0.18867924528301888,0.0,0.0,0.3021148036253776,1.0752688172043012,0.7653061224489796,4.515938606847698,0.0,0.0,0.0,0.9433962264150944,0.25803752005021274,0.963302752293578,0.05249343832020997,0.7428040854224698,1.9834710743801653,1.062815479528884
25.05.2020,0.0,0.0,7.4074074074074066,0.15625,4.081632653061225,2.512562814070352,0.3448275862068966,1.3888888888888888,0.0,1.0101010101010102,0.0,0.6349206349206349,0.1779359430604982,1.5625,0.32573289902280134,0.31723651744800846,0.0,0.3138959314258119,0.5847953216374269,1.02880658436214,0.0,-0.12437810945273632,0.28061613542778713,0.0,3.4482758620689653,0.0,0.0,0.0,0.0,0.0,4.3999999999999995,0.0,0.0,0.1369628488272556,0.0,0.0,1.104417670682731,1.0638297872340425,1.6877637130801686,2.5981361197401864,0.0,0.42016806722689076,0.0,0.0,-6.670840289371174,0.6360745115856429,0.36726128016789084,0.6682027649769585,0.9724473257698543,0.28857626460223645
