source,confirmed_total,recovered_total,deaths_total,confirmed_by_population,recovered_by_population,deaths_by_population,confirmed_total_grow_percent,recovered_total_grow_percent,deaths_total_grow_percent,confirmed_by_population_grow_percent,recovered_by_population_grow_percent,deaths_by_population_grow_percent
17.11.2020,214597,136487,1945,2422.6458462219293,1540.8401031388717,21.95765164891239,3.844325963907142,4.748694363619976,3.794494128277837,3.8443259639071425,4.748694363619976,3.7944941282778366
18.11.2020,221688,142738,2054,2502.6981381717687,1611.4093990038339,23.188183283735757,3.665282033608834,4.665103871208688,3.975621122721678,3.6652820336088334,4.665103871208688,3.975621122721677
19.11.2020,228683,149541,2116,2581.666659140479,1688.2103780102866,23.888118709048133,3.348470935865307,4.779273886368306,4.004935587595727,3.3484709358653046,4.779273886368302,4.004935587595727
20.11.2020,235351,156483,2224,2656.94358520472,1766.5805670831658,25.107361062818075,3.011101349879652,4.799770996533854,4.26321413813227,3.011101349879651,4.799770996533853,4.263214138132271
21.11.2020,241962,162751,2328,2731.577022248915,1837.3417807260362,26.281446292374316,2.8847440865909917,4.524566577992852,4.200194114656769,2.8847440865909917,4.524566577992852,4.200194114656769
22.11.2020,247188,169260,2388,2790.5748050341163,1910.8237111027822,26.95880315557984,2.7851627959393346,4.347134563907638,3.889279370752335,2.785162795939337,4.347134563907639,3.8892793707523348
23.11.2020,250333,175527,2459,2826.079593947139,1981.573635464599,27.760342110373042,2.640730700538995,4.421725524862183,3.8610033084653215,2.6407307005389944,4.421725524862184,3.86100330846532
24.11.2020,254710,182620,2577,2875.4927771179823,2061.6485059765455,29.09247727467724,2.480730939090018,4.2480961172156855,4.107437131436714,2.480730939090019,4.248096117215686,4.107437131436714
25.11.2020,260512,189059,2667,2940.993185789956,2134.3401866795516,30.108512569485526,2.3340954268832825,4.097521462202306,3.8057685530309717,2.334095426883281,4.097521462202306,3.805768553030973
26.11.2020,266038,196342,2773,3003.377752891185,2216.5600205916485,31.305176361148618,2.1863628614554247,3.9669731331903573,3.9423403673519277,2.186362861455427,3.9669731331903573,3.9423403673519286
27.11.2020,270992,203251,2886,3059.304851229854,2294.557663389765,32.580865120185685,2.0358361875914452,3.806495247576809,3.7953459761024084,2.035836187591444,3.806495247576811,3.795345976102408
28.11.2020,275661,210697,3018,3112.014504468297,2378.61765011357,34.07105021923784,1.8806837825803835,3.757624344992346,3.780709630530811,1.8806837825803828,3.757624344992346,3.780709630530812
29.11.2020,279708,216998,3105,3157.70222489151,2449.7514100312032,35.05321767088584,1.781864394827018,3.6135085484530336,3.8243359433461133,1.7818643948270179,3.61350854845303,3.8243359433461115
30.11.2020,282456,221692,3184,3188.725169226323,2502.7432952959825,35.94507087410645,1.7404561342679086,3.393589383111109,3.763062241041168,1.7404561342679086,3.39358938311111,3.7630622410411667
01.12.2020,285489,227497,3325,3222.965558661362,2568.277571811117,37.53685950263943,1.6440739239878563,3.190378523435599,3.710161284156588,1.644073923987855,3.1903785234356,3.7101612841565865
02.12.2020,289461,233657,3446,3267.8065830055675,2637.8195431002173,38.90286251010391,1.517418550356328,3.0734967000677242,3.731113381679624,1.5174185503563273,3.0734967000677242,3.731113381679624
03.12.2020,293430,238127,3538,3312.6137395066135,2688.2826294090287,39.94147636701904,1.4102702224533623,2.7964715563510105,3.5447217896577294,1.4102702224533623,2.796471556351011,3.5447217896577286
04.12.2020,297245,243775,3651,3355.682346725431,2752.0444887987755,41.21716512605611,1.3299844698308878,2.6326120774377246,3.418848338278313,1.3299844698308885,2.632612077437724,3.418848338278313
05.12.2020,300689,249441,3757,3394.5626306734284,2816.0095552474836,42.4138289177192,1.249371768233644,2.44130119501806,3.1802068506639416,1.249371768233646,2.44130119501806,3.18020685066394
06.12.2020,303430,252765,3840,3425.5065500408673,2853.5351254690695,43.35083924515351,1.1698668425536969,2.2044482288522116,3.083993378993867,1.169866842553697,2.2044482288522125,3.0839933789938683
07.12.2020,305693,256811,3897,3451.054193064769,2899.211556611229,43.99432826519876,1.1360601499568808,2.1240971890638494,2.932577891301205,1.1360601499568819,2.1240971890638485,2.9325778913012077
08.12.2020,308070,262314,4002,3477.8888141287607,2961.3364702482286,45.17970277580843,1.0937432841867643,2.0561433675617464,2.6848619388345942,1.0937432841867634,2.0561433675617447,2.6848619388345973
09.12.2020,311002,265815,4056,3510.9889861774045,3000.860243216271,45.789323952693394,1.0309482429815533,1.8599907923692611,2.3577515949732275,1.030948242981556,1.859990792369261,2.357751594973226
10.12.2020,313688,269665,4163,3541.311995086905,3044.3239752719587,46.997277025409915,0.9584469383704423,1.7936072427521705,2.3532237404297476,0.9584469383704418,1.7936072427521705,2.353223740429748
11.12.2020,316581,273503,4289,3573.971885174464,3087.6522359550054,48.41972643814152,0.9044632573228941,1.6580934950955937,2.3293335415722365,0.9044632573228923,1.6580934950955923,2.3293335415722387
12.12.2020,319822,277883,4415,3610.560445068616,3137.0992869690085,49.84217585087312,0.8851933225688012,1.5548321412865411,2.334252622463502,0.8851933225687993,1.5548321412865407,2.334252622463505
13.12.2020,322463,281106,4473,3640.3754363307125,3173.4846398041987,50.496954151971785,0.8729360009174225,1.5301551418962198,2.2063231665510377,0.8729360009174215,1.5301551418962203,2.2063231665510386
14.12.2020,325051,284174,4530,3669.5920956969776,3208.120154076108,51.14044317201704,0.8810454890243332,1.4573989910349368,2.1763142439679197,0.8810454890243318,1.4573989910349376,2.17631424396792
15.12.2020,327679,287750,4648,3699.2603263053793,3248.490623123157,52.47257833632123,0.8854613475789038,1.3310508428607246,2.163525132483429,0.8854613475789043,1.3310508428607257,2.163525132483427
16.12.2020,330343,291042,4764,3729.3349710317043,3285.654936351033,53.78213493851858,0.8656412065822109,1.3038206522459426,2.327292523437571,0.8656412065822082,1.3038206522459406,2.327292523437573
17.12.2020,332828,294315,4982,3757.3888344494667,3322.604753238895,56.24319820816532,0.8497252608407239,1.2575641104573962,2.6041381669757158,0.8497252608407228,1.2575641104573967,2.604138166975717
18.12.2020,334913,297424,5127,3780.9269854458585,3357.7031280339947,57.880143960911994,0.8074675091826717,1.2051503712980203,2.5875402035390103,0.8074675091826714,1.2051503712980225,2.58754020353901
19.12.2020,337209,300611,5209,3806.8471747445237,3393.6820667512607,58.80586500729288,0.7591533002245153,1.1294488404340048,2.3963442216222535,0.7591533002245169,1.129448840434004,2.396344221622253
20.12.2020,338854,303213,5351,3825.4180420774082,3423.056776052274,60.408942916879276,0.7108756127940025,1.087410240788208,2.5981081903658834,0.7108756127940026,1.087410240788209,2.5981081903658825
21.12.2020,340373,305658,5435,3842.5664599975617,3450.659068227899,61.35724252536701,0.660261749976881,1.0466903265502223,2.6403206897170284,0.6602617499768816,1.0466903265502208,2.640320689717027
22.12.2020,342226,309595,5540,3863.485497789559,3495.1049677352344,62.542617035976676,0.6225352134112415,1.0509270314688441,2.544187291281285,0.6225352134112428,1.0509270314688421,2.544187291281285
23.12.2020,344357,312921,5654,3887.5429557144084,3532.653116518927,63.82959507606718,0.595349094706396,1.0409639032195785,2.481625099687236,0.5953490947063985,1.0409639032195783,2.4816250996872355
24.12.2020,347204,315952,5745,3919.6835388735108,3566.8709273918603,64.85691965192889,0.6059933599120556,1.0186832066809997,2.057838449435561,0.605993359912058,1.0186832066810008,2.0578384494355606
25.12.2020,349055,318154,5783,3940.579998103401,3591.729924271503,65.28591233195905,0.5926599713670192,0.9673389379935383,1.7365480229727805,0.5926599713670218,0.9673389379935377,1.7365480229727812
26.12.2020,350484,320753,5843,3956.7123807287453,3621.0707657293556,65.96326919516457,0.5532085281075896,0.9309626167289504,1.656283440581497,0.5532085281075877,0.9309626167289532,1.6562834405814952
27.12.2020,351892,323002,5881,3972.6076884519684,3646.460358818509,66.39226187519475,0.540908836003083,0.9074757770105408,1.3597548379677729,0.5409088360030828,0.9074757770105408,1.359754837967776
28.12.2020,353484,326768,5931,3990.580223889022,3688.975791265709,66.956725927866,0.5414996755479733,0.9588433784080311,1.2569541961962234,0.5414996755479731,0.9588433784080321,1.2569541961962223
29.12.2020,355352,328974,6059,4011.668600896821,3713.8799452695653,68.40175390270446,0.5392212678923781,0.8712799244655175,1.2892726760802908,0.5392212678923792,0.8712799244655182,1.289272676080291
30.12.2020,357902,330990,6149,4040.456267583055,3736.639135873271,69.41778919751275,0.5527798955601059,0.8053524431722613,1.2075058041459739,0.5527798955601038,0.8053524431722622,1.2075058041459736
31.12.2020,360815,332952,6222,4073.3419432916835,3758.788705300092,70.24190671441279,0.5509444207005695,0.751659881932882,1.1471779318553832,0.5509444207005684,0.7516598819328814,1.147177931855381
01.01.2021,362911,334901,6261,4097.004276379663,3780.791514073218,70.68218867549639,0.5577717257201352,0.735721075554877,1.1422298412464562,0.5577717257201332,0.7357210755548766,1.1422298412464564
02.01.2021,364302,336922,6275,4112.707666324978,3803.6071510821903,70.84023861024434,0.5540429395327514,0.7052299222361602,1.0259559378259993,0.5540429395327542,0.7052299222361584,1.0259559378259995
03.01.2021,365768,338831,6324,4129.257752349299,3825.15838861318,71.39341338186219,0.5541405400277924,0.6860066947725488,1.0446024588054783,0.5541405400277923,0.6860066947725494,1.0446024588054768
04.01.2021,367410,340273,6357,4147.794751839024,3841.437531892219,71.76595965662523,0.553641526420174,0.5802415292423773,0.9976918997916516,0.5536415264201733,0.5802415292423765,0.9976918997916532
05.01.2021,369721,343039,6457,4173.88428035349,3872.6636832859936,72.89488776196777,0.568004908288261,0.5999243885108742,0.9141086105705212,0.5680049082882593,0.5999243885108747,0.914108610570522
06.01.2021,372190,344974,6525,4201.7575152743975,3894.508442124372,73.6625588736007,0.5608909840308903,0.5929617339743898,0.8523553269919889,0.5608909840308928,0.5929617339743913,0.8523553269919903
07.01.2021,374730,346901,6568,4230.432289150098,3916.262886714322,74.14799795889799,0.5421105817753143,0.5880796866032185,0.7769008874637723,0.5421105817753145,0.5880796866032166,0.7769008874637745
08.01.2021,376793,349215,6641,4253.722075963314,3942.386283071949,74.97211547579803,0.5377709534416654,0.5997481776845713,0.8461353662635788,0.5377709534416641,0.5997481776845713,0.8461353662635774
09.01.2021,379071,351382,6687,4279.439058203017,3966.850155114722,75.4914224042556,0.5693832992248562,0.6021871361228666,0.9131439826078368,0.5693832992248545,0.6021871361228681,0.9131439826078367
10.01.2021,380722,353749,6723,4298.077661222223,3993.57188336818,75.89783652217892,0.574115453343273,0.6174765461110087,0.8784984846151891,0.5741154533432733,0.6174765461110088,0.8784984846151892
11.01.2021,382258,355530,6747,4315.417996920284,4013.6780929243305,76.16877926746113,0.5676191022924811,0.6286027498877306,0.8549501785630537,0.5676191022924817,0.628602749887732,0.8549501785630541
12.01.2021,383833,357562,6819,4333.198614579429,4036.6179120248903,76.98160750330776,0.5366230749150219,0.5941262298791485,0.7826747348205367,0.5366230749150217,0.5941262298791476,0.7826747348205363
13.01.2021,385750,359692,6868,4354.840166358846,4060.664080668687,77.5347822749256,0.5125709459686386,0.5986440985432873,0.7348832766422773,0.512570945968638,0.5986440985432876,0.7348832766422758
14.01.2021,389260,362931,6921,4394.465542856369,4097.230062000731,78.13311417075715,0.5450664618724871,0.6474869302887568,0.7509819888026849,0.5450664618724883,0.6474869302887557,0.7509819888026849
15.01.2021,390788,365214,6987,4411.715564306002,4123.003490645702,78.87820672028323,0.5224964584392339,0.6420578002807957,0.7284348412699905,0.5224964584392346,0.6420578002807966,0.7284348412699925
16.01.2021,392511,367785,7053,4431.166995561055,4152.028232234058,79.62329926980931,0.49911474875707335,0.653977256698125,0.7644269347210856,0.49911474875707473,0.6539772566981229,0.764426934721088
17.01.2021,393778,369218,7082,4445.470514655744,4168.2057719836175,79.95068842035865,0.48300832592793247,0.6134063933283816,0.746257583665697,0.48300832592793225,0.6134063933283823,0.7462575836656986
18.01.2021,394939,370865,7122,4458.577369958772,4186.799217878608,80.40225966249565,0.4674929250679972,0.6052083370590161,0.7759473994413983,0.4674929250679975,0.605208337059013,0.7759473994413977
19.01.2021,396425,373090,7199,4475.353241604162,4211.91786822248,81.27153430360941,0.46238367531412444,0.6092665783311139,0.7779496889903763,0.46238367531412494,0.6092665783311151,0.7779496889903778
20.01.2021,398096,374824,7237,4494.217630244436,4231.49348156912,81.70052698363958,0.45125244079297533,0.5905617681745736,0.7507026394782336,0.45125244079297644,0.590561768174575,0.7507026394782341
21.01.2021,399798,376360,7288,4513.431986597366,4248.833817267181,82.27628031736427,0.382340914846794,0.5204617232450816,0.7411336510003039,0.382340914846793,0.5204617232450837,0.7411336510003032
22.01.2021,401886,378408,7330,4537.004005436917,4271.954264864597,82.75043012160813,0.40087292234610056,0.5083352456089314,0.6872294184687181,0.40087292234610084,0.5083352456089304,0.6872294184687168
23.01.2021,403512,380248,7389,4555.360376429788,4292.726542002899,83.41649770376024,0.39568554056221306,0.47723193495965394,0.6672722616284276,0.3956855405622127,0.4772319349596543,0.6672722616284278
24.01.2021,404714,381654,7418,4568.930092256004,4308.599271164016,83.74388685430957,0.3921271222931454,0.4743932025184262,0.6646012259763762,0.39212712229314434,0.4743932025184257,0.664601225976374
25.01.2021,405723,383200,7451,4580.320976838911,4326.052499672611,84.11643312907262,0.3856236484365777,0.46853620523126055,0.6474657466561701,0.38562364843657615,0.46853620523126244,0.6474657466561721
26.01.2021,407140,384926,7515,4596.317888091615,4345.537798770823,84.83894711649184,0.3817654233079066,0.4471746006762136,0.6157211937507885,0.3817654233079067,0.4471746006762148,0.6157211937507883
27.01.2021,408781,386351,7564,4614.843598300286,4361.625024271954,85.39212188810967,0.37912801603241386,0.4336651451485878,0.6334609343728655,0.37912801603241436,0.43366514514858595,0.6334609343728638
28.01.2021,410230,387787,7607,4631.201766546699,4377.836431864674,85.87756097340697,0.36868993927317656,0.4282209187553834,0.6139995611315202,0.3686899392731759,0.42822091875538526,0.6139995611315207
