country,France,Italy,Spain,US,United Kingdom
25.12.2021,183.35658730629936,226.07838046211194,190.48408537018287,247.45352383180645,266.3739518977415
26.12.2021,183.499079736389,226.2125073852602,190.48408537018287,247.56565570359115,266.54705199249497
27.12.2021,183.87905954996143,226.4476434727547,190.74086302713724,248.12510282606289,266.7457407969077
28.12.2021,184.31098972867068,226.78213283665528,190.9848018012439,248.8194112537892,266.9895861477778
29.12.2021,184.58410021967583,227.00733359650914,191.15170727826424,249.53705523321125,267.1882749521905
30.12.2021,184.85424211838745,227.265652115165,191.3100535000528,249.98861331147938,267.46071944915036
31.12.2021,185.13477409012646,227.5223147458808,191.3100535000528,250.21014952303238,267.6940282725137
01.01.2022,185.29804666627086,227.70611830723212,191.3100535000528,250.33167622731796,267.95894667839735
02.01.2022,185.43311761562668,227.92635140326567,191.3100535000528,250.4547182271682,268.2133285567742
03.01.2022,185.8338775752538,228.15817571487995,191.66954221978892,251.03174277819,268.4842678355188
04.01.2022,186.3548655227691,228.5870506913663,191.9177606215115,251.73817357043356,268.79133235142933
05.01.2022,186.72000237487381,228.96956080552988,192.23445306508856,252.41429845138398,269.0622716301739
06.01.2022,187.02428308496113,229.29742661767006,192.23445306508856,253.04920729297572,269.3934196375284
07.01.2022,187.3107522412872,229.66668962831278,192.44201500446002,253.78806541030298,269.7335989541744
08.01.2022,187.52152229412812,229.9713730092915,192.44201500446002,254.05202989766642,270.06324174331365
09.01.2022,187.65510894733717,230.2313474158875,192.44201500446002,254.23962348857108,270.42750455140356
10.01.2022,188.070711868432,230.60723397829065,192.87425739366657,254.86210690653263,270.7917673594935
11.01.2022,188.5768568544796,231.0940650326806,193.40279140423098,255.62642198934614,271.14248320364624
12.01.2022,188.94199370658433,231.6123579579325,193.67026813022514,256.4898374020883,271.50825122995144
13.01.2022,189.2774446357537,232.1356185470047,193.90992727671588,257.2656687311932,271.8725140380414
14.01.2022,189.56094519978626,232.7317382054414,194.20736139602138,258.11302201095003,272.2337664097008
15.01.2022,189.7806210295078,233.24175169099274,194.20736139602138,258.41850559678505,272.6251231456652
16.01.2022,189.90084901739596,233.65241190013805,194.20736139602138,258.649436640839,273.01045900876863
17.01.2022,190.36691800748085,234.12765173894726,194.70807782708243,258.96340588183614,273.36569050756714
18.01.2022,190.92352906251855,234.8463071049515,195.31578494854114,259.79378785126875,273.71640635171985
19.01.2022,190.94134061627977,235.47554452219023,195.6581551578136,260.84843356427075,274.0505647955048
20.01.2022,191.63005402837973,236.11306137912945,196.00480499470203,261.73669982427333,274.3591345296306
21.01.2022,191.9758950305765,236.73070758078745,196.3086585554314,262.76407021711145,274.73242864701206
22.01.2022,192.22377248708662,237.2821182648414,196.3086585554314,263.076221103431,275.0650818725818
23.01.2022,192.39446654396485,237.65800482724453,196.3086585554314,263.29957566966164,275.3977350981515
24.01.2022,192.97779492964438,238.2408773821604,196.85003144884354,263.9602445358525,275.74243006944323
25.01.2022,193.67541411862496,239.01583293812809,197.66744032348166,264.9166990962647,276.0374528396318
26.01.2022,194.05539393219735,239.7228970885516,198.1275002921916,266.08862868597123,276.3309703916051
27.01.2022,194.45466959567773,240.36703749725123,198.50410752239134,266.882946620965,276.6681392718206
28.01.2022,194.84503948227749,240.99296313860972,198.92993047017404,268.1227614519682,276.9736985695159
29.01.2022,195.10924419640207,241.61723289202814,198.92993047017404,268.4894629786155,277.24614306647567
30.01.2022,195.2977498070415,242.00636655795208,198.92993047017404,268.6364466483873,277.53514496380325
