country,Albania,Armenia,Austria,Azerbaijan,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Czechia,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Ireland,Italy,Kazakhstan,Kosovo,Latvia,Lithuania,Luxembourg,Malta,Moldova,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russia,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Turkey,Ukraine,United Kingdom
05.09.2022,11504.659404304184,14708.57470025596,56196.20093113991,8155.23,10488.83097149972,39239.37103437867,11292.56598275546,17792.143729484935,29629.96161484138,41013.94889663838,57234.230362822,45320.524920534925,22943.019894006084,51672.583565873065,46538.02016302016,38905.77291975822,44230.5129560735,20965.5818237642,33667.70293609671,36338.25717131949,8062.614057929171,15109.763325782622,46952.32394732733,43729.38458105457,47949.43563591664,23996.375874761667,21443.282054341686,44418.09309417876,48810.754638985854,16428.845743340364,27433.741183444643,16100.308063777527,52831.97768292815,16535.68259699366,13264.94640198749,32988.29483595366,47395.90019406485,54672.447525422096,28570.834620253023,24895.846263823572,47438.05861240596,20484.091228754267,14332.173026898012,35731.01148406237
06.09.2022,11506.819439199198,14708.57470025596,56227.709314560016,8160.870000000001,10488.83097149972,39239.37103437867,11292.56598275546,17798.729407079016,29641.62891034037,41037.07693242831,57252.55618526649,45381.01919973195,22943.019894006084,51712.56753547467,46538.02016302016,38965.74492984425,44621.98996619024,20965.5818237642,33667.70293609671,36379.40267485514,8063.458427076467,15109.763325782622,46993.702180815075,43786.01262293138,47949.43563591664,24000.790412464972,21443.282054341686,44449.58617132556,48819.15993018556,16437.470998182915,27435.713409616536,16115.495295782855,52868.302866595106,16550.413470943735,13290.834033964507,33037.99496938725,47395.90019406485,54800.31883287844,28584.411738864485,24895.846263823572,47608.35432955252,20484.091228754267,14376.775992920166,35731.07470322741
07.09.2022,11514.936989691756,14708.57470025596,56274.90979864438,8165.89,10488.83097149972,39278.02721758628,11302.505117657713,17809.400776195675,29664.378918682847,41080.63253766492,57267.66120996931,45381.01919973195,22943.019894006084,51742.49836727424,46538.02016302016,39021.83937167469,44621.98996619024,21070.99580390953,33709.92583561922,36408.49662596273,8067.059252923969,15114.211462180278,47056.15989173997,43822.97665785666,47949.43563591664,24005.625382330498,21594.602002062096,44474.33073194089,48819.85462979974,16443.927892869517,27437.59172025643,16127.06850256026,52894.66368163764,16561.820166453752,13323.074596903773,33086.11549730864,47395.90019406485,54889.30219076834,28585.177792207734,24895.846263823572,47608.35432955252,20484.091228754267,14378.395773552522,35732.056105503754
08.09.2022,11520.8945052893,14708.57470025596,56274.90979864438,8169.849999999999,10488.83097149972,39278.02721758628,11302.505117657713,17817.25787527755,29683.71886153502,41110.31884885988,57282.852352258815,45381.01919973195,23026.304709422195,51771.985394525924,46538.02016302016,39072.57953599479,44621.98996619024,21070.99580390953,33709.92583561922,36437.17163742148,8067.059252923969,15115.601504804543,47102.63883828658,43859.510878422356,47949.43563591664,24007.937759222707,21594.602002062096,44496.665108080706,48819.85462979974,16449.180143025034,27438.850188385168,16138.05628408476,52919.66218065731,16572.371487850538,13357.037688546767,33133.015420970616,47395.90019406485,54991.2320958431,28585.177792207734,24938.444810027057,47608.35432955252,20484.091228754267,14380.36418246668,35781.353507271335
09.09.2022,11526.294592526836,14708.57470025596,56274.90979864438,8173.22,10488.83097149972,39278.02721758628,11308.912869385527,17825.300687610455,29683.71886153502,41140.22157373393,57297.14787164691,45381.01919973195,23026.304709422195,51800.316155079265,46538.02016302016,39116.00612882599,44621.98996619024,21070.99580390953,33709.92583561922,36462.90744778654,8068.475614074272,15117.936776413313,47150.575131421436,43894.00348077995,47949.43563591664,24012.56251300712,21594.602002062096,44517.87473146528,48842.96343927981,16450.818459587306,27440.80363145066,16149.892281753468,52944.981797025226,16582.938175249357,13392.046552556925,33180.34614613591,47395.90019406485,55070.50554334436,28604.275630443713,24938.444810027057,47608.35432955252,20484.091228754267,14382.203867092172,35781.37759076278
10.09.2022,11529.987555411864,14708.57470025596,56274.90979864438,8175.96,10488.83097149972,39278.02721758628,11308.912869385527,17828.972095726895,29716.650351127137,41155.04120610542,57297.14787164691,45381.01919973195,23026.304709422195,51800.316155079265,46538.02016302016,39116.00612882599,44621.98996619024,21070.99580390953,33709.92583561922,36487.97262353586,8069.657730880486,15119.326819037578,47150.575131421436,43930.46606561904,47949.43563591664,24017.397482872646,21594.602002062096,44538.76299691978,48842.96343927981,16450.818459587306,27441.554955706615,16162.823675117605,52944.981797025226,16592.168020471203,13427.932340270798,33219.76448369014,47395.90019406485,55169.77850776551,28604.275630443713,24938.444810027057,47608.35432955252,20484.091228754267,14384.290273270939,35781.53714389359
11.09.2022,11533.053411391884,14708.57470025596,56274.90979864438,8178.62,10488.83097149972,39278.02721758628,11308.912869385527,17831.32922545146,29727.392057421603,41157.03597566908,57297.14787164691,45381.01919973195,23026.304709422195,51800.316155079265,46538.02016302016,39116.00612882599,44621.98996619024,21070.99580390953,33709.92583561922,36507.67934591101,8070.670973857242,15119.660429267404,47150.575131421436,43934.692573488406,47949.43563591664,24020.34050800818,21594.602002062096,44562.86484167498,48842.96343927981,16450.818459587306,27442.024533366595,16164.509699845968,52944.981797025226,16596.808553085517,13463.441622698838,33251.21299343286,47395.90019406485,55200.11593922852,28604.275630443713,24938.444810027057,47608.35432955252,20523.34668741658,14386.097776824263,35781.54165954824
12.09.2022,11533.645679024388,14795.29839687458,56524.22228142823,8179.38,10488.83097149972,39278.02721758628,11314.551690906004,17831.32922545146,29728.220216183538,41190.59891450662,57328.0640852633,45381.01919973195,23026.304709422195,51860.4895208692,47249.19562419562,39152.400255769906,44621.98996619024,21070.99580390953,33709.92583561922,36519.6861893647,8071.193937974276,15119.882836087287,47250.871805548326,43937.23564178268,47949.43563591664,24024.124397468157,21594.602002062096,44578.772059213414,48842.96343927981,16459.443714429857,27444.353638560064,16166.224345364471,52984.29434511377,16604.358382084964,13494.699731519733,33296.31791083098,47395.90019406485,55227.409965942854,28604.275630443713,24938.444810027057,47608.35432955252,20550.71246505135,14387.645150044249,35781.96161543029
13.09.2022,11538.453498629422,14795.29839687458,56553.66472641556,8182.63,10488.83097149972,39338.35217407405,11319.421582219144,17852.843391301107,29740.301591063482,41191.40811348056,57345.115367424994,45453.79427245016,23026.304709422195,51928.69589740545,47249.19562419562,39218.671202963065,44936.146668247864,21070.99580390953,33709.92583561922,36558.03324228157,8072.757382782496,15120.605658251903,47304.012907926925,44021.873252759855,47949.43563591664,24028.538935171462,21594.602002062096,44611.389889115446,48867.65685283851,16467.394368335004,27445.987768816776,16186.701219766039,53020.49302800718,16620.308292196412,13524.344927099863,33341.867989782535,47395.90019406485,55399.72464433226,28618.118085967366,24938.444810027057,47770.3821257165,20550.71246505135,14388.994073319209,35781.97064673959
14.09.2022,11542.076782969449,14795.29839687458,56407.64916527056,8186.34,10488.83097149972,39338.35217407405,11323.266233255832,17860.614776574814,29765.170711532086,41273.18425630004,57360.08260398914,45453.79427245016,23026.304709422195,51972.66520216114,47249.19562419562,39280.56148732612,44936.146668247864,21189.67352369256,33742.45656811948,36589.24507406456,8072.784620496925,15121.662090646349,47394.10815593608,44084.08888131142,47949.43563591664,24032.533040712548,21746.481289165407,44638.5446342063,48867.82909241227,16474.18856349031,27447.67824839268,16202.642999875108,53050.51263465399,16631.853281724736,13559.228516295201,33383.081333600625,48013.57627527347,55523.48977077849,28618.118085967366,24938.444810027057,47770.3821257165,20550.71246505135,14390.332269570114,35782.24008080012
