country,France,Germany,Russia,US,United Kingdom
22.01.2020,0.0,0.0,0.0,0.0,0.0
23.01.2020,0.0,0.0,0.0,0.0,0.0
24.01.2020,0.0,0.0,0.0,0.0,0.0
25.01.2020,0.0,0.0,0.0,0.0,0.0
26.01.2020,0.0,0.0,0.0,0.0,0.0
27.01.2020,0.0,0.0,0.0,0.0,0.0
28.01.2020,0.0,0.0,0.0,0.0,0.0
29.01.2020,0.0,0.0,0.0,0.0,0.0
30.01.2020,0.0,0.0,0.0,0.0,0.0
31.01.2020,0.0,0.0,0.0,0.0,0.0
01.02.2020,0.0,0.0,0.0,0.0,0.0
02.02.2020,0.0,0.0,0.0,0.0,0.0
03.02.2020,0.0,0.0,0.0,0.0,0.0
04.02.2020,0.0,0.0,0.0,0.0,0.0
05.02.2020,0.0,0.0,0.0,0.0,0.0
06.02.2020,0.0,0.0,0.0,0.0,0.0
07.02.2020,0.0,0.0,0.0,0.0,0.0
08.02.2020,0.0,0.0,0.0,0.0,0.0
09.02.2020,0.0,0.0,0.0,0.0,0.0
10.02.2020,0.0,0.0,0.0,0.0,0.0
11.02.2020,0.0,0.0,0.0,0.0,0.0
12.02.2020,0.0,0.0,0.0,0.0,0.0
13.02.2020,0.0,0.0,0.0,0.0,0.0
14.02.2020,0.0,0.0,0.0,0.0,0.0
15.02.2020,0.0,0.0,0.0,0.0,0.0
16.02.2020,0.0,0.0,0.0,0.0,0.0
17.02.2020,0.0,0.0,0.0,0.0,0.0
18.02.2020,0.0,0.0,0.0,0.0,0.0
19.02.2020,0.0,0.0,0.0,0.0,0.0
20.02.2020,0.0,0.0,0.0,0.0,0.0
21.02.2020,0.0,0.0,0.0,0.0,0.0
22.02.2020,0.0,0.0,0.0,0.0,0.0
23.02.2020,0.0,0.0,0.0,0.0,0.0
24.02.2020,0.0,0.0,0.0,0.0,0.0
25.02.2020,0.0,0.0,0.0,0.0,0.0
26.02.2020,10,0.0,0.0,0.0,0.0
27.02.2020,10,0.0,0.0,0.0,0.0
28.02.2020,10,0.0,0.0,0.0,0.0
29.02.2020,10,0.0,0.0,0.0,0.0
01.03.2020,10,0.0,0.0,0.0,0.0
02.03.2020,10,0.0,0.0,10,0.0
03.03.2020,10,0.0,0.0,10,0.0
04.03.2020,10,0.0,0.0,10,0.0
05.03.2020,10,0.0,0.0,10,0.0
06.03.2020,10,0.0,0.0,10,0.0
07.03.2020,10,0.0,0.0,10,10
08.03.2020,10,0.0,0.0,10,10
09.03.2020,10,0.0,0.0,10,10
10.03.2020,10,0.0,0.0,10,10
11.03.2020,10,7.142857142857143,0.0,10,10
12.03.2020,10,10,0.0,10,10
13.03.2020,10,10,0.0,10,10
14.03.2020,10,10,0.0,10,10
15.03.2020,10,10,0.0,10,10
16.03.2020,10,10,0.0,10,10
17.03.2020,10,10,0.0,10,10
18.03.2020,10,10,0.0,10,10
19.03.2020,10,10,0.0,10,10
20.03.2020,10,10,0.0,10,10
21.03.2020,10,10,0.0,10,10
22.03.2020,10,10,0.0,10,10
23.03.2020,10,10,0.0,10,10
24.03.2020,10,10,0.0,10,10
25.03.2020,10,10,10,10,10
26.03.2020,10,10,10,10,10
27.03.2020,10,10,10,10,10
28.03.2020,10,10,10,10,10
29.03.2020,10,10,10,10,10
30.03.2020,10,10,10,10,10
31.03.2020,10,10,10,10,10
01.04.2020,10,10,10,10,10
02.04.2020,10,10,10,10,10
03.04.2020,10,10,10,10,10
04.04.2020,10,10,10,10,10
05.04.2020,10,10,10,10,10
06.04.2020,10,10,10,10,10
07.04.2020,10,10,10,10,10
08.04.2020,10,10,10,10,10
09.04.2020,10,10,10,10,10
10.04.2020,10,10,10,10,10
11.04.2020,9.075538359427764,9.694630439433487,10,10,10
12.04.2020,8.674348281389213,9.802905513082521,10,10,10
13.04.2020,7.770368583668116,8.57775097058847,10,10,10
14.04.2020,6.210149569246802,7.399130243781743,10,9.447166510417409,9.400900277203963
15.04.2020,6.765296057508335,7.251250053454245,10,8.800235214176352,8.343438377304127
16.04.2020,5.632110104166137,6.613543770148049,10,8.058635385474773,7.474803494110854
17.04.2020,5.087276977570718,6.794462147425156,10,7.416084588686127,6.634996317193073
18.04.2020,4.8895444551611,7.3057459548585015,10,6.834725152582673,6.454157502520945
19.04.2020,4.598128580080606,6.219311077952549,10,6.480129180379928,5.992215485518105
20.04.2020,4.426303349524055,6.265985598748088,10,6.206235486449778,5.596671423236147
21.04.2020,4.0898712564017385,6.3211571390572034,10,5.799164103911317,5.330820199963577
22.04.2020,3.156592404487125,4.8075921532614005,10,5.385433560491009,5.040075328524707
23.04.2020,2.8752191211386995,4.677259203824364,10,5.175659854864771,4.5123999586809225
24.04.2020,2.522554668624774,4.093635549005175,10,4.952936083308296,4.364751452453509
25.04.2020,2.2691827189408014,4.032579876736267,10,4.6932141725418495,3.9418243019866877
26.04.2020,2.1350138717954636,3.866345689455464,10,4.357298730277496,3.8192241746735043
27.04.2020,2.01167849563056,3.3651633387205204,10,3.9757822251000605,3.5666111333461195
28.04.2020,1.8643605711189575,3.3011369884695925,9.629581607054584,3.7302482606573446,3.219710051757741
