country,Albania,Armenia,Austria,Azerbaijan,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Czechia,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Ireland,Italy,Kazakhstan,Kosovo,Latvia,Lithuania,Luxembourg,Malta,Moldova,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russia,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Turkey,Ukraine,United Kingdom
23.05.2020,27.279150367693685,98.88185369796578,169.75691920035763,25.060000000000002,142.74408838146692,132.36205524427982,47.33192609612425,11.54279283301136,49.27544633494686,56.869751144969506,172.82077293978745,115.68204267499941,86.92479104095153,95.98201033070119,13.647576147576148,192.6912543583433,12.759801017682353,16.937877392283287,427.9183175861018,229.90348160374734,22.95594572068269,43.48053328707272,37.05824181543746,40.65327484515042,624.2473069160555,99.4322063649225,128.7226366512724,50.45319502088023,0.9989895278339151,67.99013733429511,145.13706314485927,23.357166645851546,74.9760354015334,57.29982158535038,73.48729571762752,81.83792558162511,23.507429725181616,64.73273592425305,321.77664118476525,,328.37132980537433,143.41028391802232,18.581887419882538,1.7294957293196187
24.05.2020,27.488186002695166,103.19277919978444,170.0504405077467,26.07,149.36003629802366,133.38392000598097,47.84454623434942,11.999933143229631,49.37287677752708,57.18966701838594,173.92307804922999,116.13688687948827,86.92479104095153,96.0859110609749,13.996138996138997,193.37290528068334,12.759801017682353,17.296080237437316,427.9183175861018,232.61748193757433,23.707706638920516,43.64733840198476,37.05824181543746,40.760728435049494,625.7423111103728,100.06285460825181,138.45514191372376,50.613873985914886,0.9989895278339151,68.52018092797141,145.13706314485927,23.921776778652013,170.76631346677607,58.38568572909708,77.13864806470019,84.10681349913638,23.89309849411038,64.73273592425305,321.77664118476525,,329.5440845546792,144.74192819310676,19.061921746359516,1.7325061657501142
25.05.2020,27.697221637696646,105.92078674390409,170.8971365867536,27.41,152.4622511105718,133.60226717728463,48.30020857943846,12.314217106504692,49.56773766268752,58.16823321942447,175.0253831586725,116.59173108397712,92.35759048101102,96.9497714183934,14.103389103389103,194.48043722175976,12.759801017682353,17.51100194452973,427.9183175861018,235.10462562360738,24.595656129302878,43.98094863180884,37.05824181543746,40.760728435049494,628.067873190422,101.95479933823978,141.7738889189275,50.613873985914886,0.9989895278339151,69.3393392091075,145.13706314485927,24.135131759710255,173.4228297113729,59.56886788572673,80.88259484011557,85.01149665611874,24.003289570947167,65.02258399555566,321.77664118476525,,330.7168393039841,146.35282754053034,19.399823004103087,1.7475583479025913
26.05.2020,27.97593581769863,108.44671965512596,171.39386495310433,28.19,159.18371653775944,133.803146574884,49.0121809936401,12.57135853100247,49.83567137978313,58.99625077414937,176.40326454547568,117.65303422778446,92.35759048101102,97.9590927981951,14.398326898326898,195.40699989141845,12.759801017682353,18.790297820079825,427.9183175861018,239.53743763926016,25.12951533210945,43.98094863180884,38.56763649612242,41.72781074414118,628.4000963447147,101.95479933823978,144.83161087877812,50.613873985914886,0.9989895278339151,70.01394014651369,145.13706314485927,26.070937929311853,176.08907678470456,60.81863605117103,89.27804995698172,87.12242402241087,24.27876726303914,65.02258399555566,321.77664118476525,,330.7168393039841,148.17225360136,20.3143018048218,1.7475583479025913
27.05.2020,28.289489270200857,109.6254883470295,171.9131718815619,28.97,168.01553217756486,135.06956016844524,49.66719561470559,13.028498841220744,49.860028990428184,59.93717981360949,177.47112262024814,118.33530053451774,92.35759048101102,99.00552158166597,14.934577434577434,196.4361118148805,12.759801017682353,18.994985160167843,448.82657726302955,243.58277187692912,25.973884479405566,44.14775374672089,38.56763649612242,42.40835014683533,629.7289889618858,103.21609582489842,144.83161087877812,50.613873985914886,1.016213485210362,70.83309842764977,145.13706314485927,26.877523833312516,178.55097645460563,62.29377224644957,96.82109165998716,90.13803454568534,24.370593160403132,65.40904809062583,321.77664118476525,,331.88959405328904,149.74047204253088,21.440639330633697,1.7550844389788298
28.05.2020,28.67272126770358,110.70321972248416,172.56795018266055,30.22,175.7921727110614,136.00408606162492,50.720914787724,13.785637480019755,49.95745943300841,60.784015949123585,178.74566290304105,119.32079631091027,99.60132306775698,99.90648934275366,15.363577863577863,197.08760119198425,12.759801017682353,20.42779654078395,448.82657726302955,249.38334733110605,26.692960140328704,44.53696568151565,38.56763649612242,42.73071091653256,631.7223278876421,105.31825663599615,153.74375171297686,50.613873985914886,1.0219548043358442,71.60407092754255,145.13706314485927,27.475958536280757,181.35345513022426,64.68574656309913,102.80228322609446,92.45000261352912,24.462419057767118,65.50566411439337,321.77664118476525,,331.88959405328904,151.66233227836702,22.631339000777707,1.7565896571940776
29.05.2020,29.6482208977105,111.04001077731375,173.25659632691952,31.25,183.4949509871163,136.96481361536104,51.347450512221435,14.514204849430126,50.152320318168854,61.160387564907644,179.77907394314346,122.04986153784341,99.60132306775698,100.8148785845752,15.444015444015445,198.15531989334877,12.759801017682353,20.714358816907172,448.82657726302955,253.0925363169343,27.54822437339638,45.5933980759586,38.775828865872064,43.554521772425474,633.7156668133986,108.05106569042317,159.52359200293841,50.613873985914886,1.0219548043358442,73.04964436484154,145.13706314485927,27.819408017984262,184.01970220355588,65.71014669870922,108.42875643068304,93.68496692306057,24.572610134603906,65.55397212627715,321.77664118476525,,331.88959405328904,153.60614269456173,23.95880822762745,1.764115748270316
30.05.2020,29.857256532711986,111.71359288697292,175.2096419491621,33.27,189.55165609732936,137.72466177149775,52.144859616127256,15.199915314757531,50.24975076074907,61.5932149230593,181.2775199512919,122.95954994682114,99.60132306775698,101.50507629282195,16.087516087516086,198.95520407301504,12.759801017682353,21.922014123426464,448.82657726302955,257.7108077818785,28.436173863778745,46.09381342069473,38.775828865872064,44.02015399532147,633.7156668133986,110.36344258263068,166.12379672115253,50.613873985914886,1.0219548043358442,73.96517420846422,145.13706314485927,28.662420382165603,186.6956801056223,66.82162084584617,114.01982588325826,94.86249103214871,24.903183365114277,65.55397212627715,321.77664118476525,,333.06234880259393,154.85120570267637,24.969830244844328,1.7866940214990317
31.05.2020,30.379845620215697,114.03745116529704,176.03375946606215,34.28,195.35511918202826,138.75526042005103,53.02770540973727,15.342771661700741,50.46896925655457,61.70612640779451,181.88034305801827,123.11116468165075,99.60132306775698,101.63421005759069,16.221578721578723,199.4908731164115,12.759801017682353,21.97318595844847,448.82657726302955,260.8139417816294,29.43852175476251,46.76103388034291,38.775828865872064,44.27087903841932,636.7056752020331,112.25538731261865,170.82224753750836,50.613873985914886,1.0219548043358442,74.7843324896003,145.13706314485927,29.325902335456473,188.8656549134798,67.89724098823676,117.02505975608668,96.18361564234515,25.08683515984226,65.6022801381609,321.77664118476525,,334.2351035518989,156.05724616793142,25.57858885998552,1.7912096761447749
01.06.2020,30.55404198271693,114.57631685302438,176.06762730922244,35.08,198.11967796055757,139.03474479931972,53.76815672050697,15.571341816809879,50.590757309779846,62.496506800941006,182.74151892477025,123.18697204906556,99.60132306775698,101.7603752300659,16.73101673101673,199.8286824230579,12.759801017682353,22.065295261488078,448.82657726302955,262.21813475483583,30.435422102860503,46.87223729028427,38.775828865872064,44.27087903841932,638.6990141277896,112.88603555594796,172.3511085174337,50.613873985914886,1.0276961234613264,75.60349077073639,145.13706314485927,29.789038757753634,190.25716342255433,68.76798110350535,119.4971948245597,96.58569704544841,25.123565518787856,65.6022801381609,321.77664118476525,,334.2351035518989,157.24499481622104,26.959693207112018,1.8378714408174537
