country,Albania,Armenia,Austria,Azerbaijan,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Czechia,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Ireland,Italy,Kazakhstan,Kosovo,Latvia,Lithuania,Luxembourg,Malta,Moldova,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russia,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Turkey,Ukraine,United Kingdom
28.03.2020,24.99999999999999,0.0,17.241379310344826,33.33333333333334,0,22.14532871972318,24.999999999999993,133.33333333333334,66.66666666666667,22.222222222222232,25.00000000000002,0.0,28.571428571428566,16.02403605408112,0,26.60818713450295,14.28571428571427,9.999999999999988,63.63636363636363,9.73286621414496,0.0,0.0,0,40.0,19.999999999999986,0,0.0,0.0,17.00182815356491,33.333333333333314,21.052631578947366,12.499999999999979,31.578947368421055,42.30769230769227,0.0,900.0,0.0,0.0,16.4266251459712,0.0,14.285714285714302,17.39130434782608,80.0,25.27944969905419
29.03.2020,0.0,199.99999999999994,26.470588235294105,0.0,0,22.09631728045325,19.999999999999996,14.285714285714276,19.999999999999996,45.454545454545446,10.769230769230754,200.00000000000006,22.2222222222222,12.688821752265861,0,23.094688221708992,18.75,18.181818181818183,27.777777777777775,7.542651900628555,0.0,0.0,0,0.0,16.66666666666667,0,0.0,0.0,20.62499999999999,50.00000000000002,8.695652173913048,22.222222222222236,18.999999999999993,16.216216216216235,100.0,30.000000000000004,0.0,22.222222222222225,13.724506853895022,4.761904761904755,13.636363636363628,21.296296296296298,11.111111111111114,14.756348661633481
30.03.2020,9.99999999999999,0.0,25.581395348837226,0.0,0,19.02552204176335,66.66666666666667,0.0,0.0,43.75,6.9444444444444375,0.0,18.18181818181818,16.04749138261204,0,21.013133208255155,13.157894736842108,15.384615384615389,17.391304347826086,7.533166341961227,0.0,0.0,0,0.0,4.761904761904763,0,0.0,0.0,12.046632124352339,16.666666666666657,28.000000000000004,40.909090909090914,17.64705882352942,51.16279069767441,12.499999999999988,23.07692307692309,0.0,0.0,13.42054975745994,32.72727272727272,19.66666666666669,28.24427480916029,29.999999999999982,22.368421052631586
31.03.2020,36.36363636363637,0.0,18.518518518518515,24.999999999999986,0,37.42690058479532,30.000000000000014,0.0,0.0,34.782608695652165,16.883116883116873,33.33333333333333,30.769230769230806,16.567656765676567,0,20.15503875968994,13.953488372093023,6.666666666666668,31.481481481481467,7.221119834354228,100.0,0.0,0,14.285714285714308,4.545454545454534,0,100.0,100.0,20.231213872832367,28.571428571428577,21.875000000000004,6.451612903225805,14.285714285714269,26.153846153846143,88.88888888888889,0.0,0.0,36.36363636363637,9.69414204250908,23.28767123287671,20.612813370473525,27.3809523809524,30.76923076923078,18.71945259042034
01.04.2020,0.0,33.33333333333336,14.062499999999995,0.0,100.0,17.44680851063829,0.0,25.00000000000001,0.0,25.806451612903235,15.555555555555568,25.000000000000007,0.0,24.971687429218576,0,18.70967741935483,2.0408163265306105,25.000000000000007,19.718309859154957,5.8496942388155695,49.99999999999998,0.0,0,0.0,26.08695652173914,0,24.999999999999982,0.0,12.980769230769221,22.222222222222225,12.82051282051282,30.303030303030308,16.875,12.195121951219507,41.1764705882353,74.99999999999997,0.0,0.0,10.905009451795818,32.777777777777786,12.702078521939944,29.439252336448575,17.64705882352942,27.62453684643885
02.04.2020,6.66666666666668,75.0,8.219178082191783,0.0,100.0,22.101449275362324,23.07692307692307,0.0,16.666666666666664,12.820512820512823,18.269230769230788,120.0,11.764705882352928,22.292705029451735,0,20.32608695652173,6.000000000000019,5.000000000000001,15.294117647058814,5.777270999619924,0.0,0.0,0,12.499999999999996,3.448275862068976,0,19.999999999999986,0.0,14.127659574468087,0.0,13.63636363636363,32.55813953488372,11.76470588235294,25.000000000000018,25.00000000000001,10.714285714285722,0.0,13.333333333333334,10.237562586555878,28.870292887029297,9.836065573770497,28.51985559566788,10.000000000000002,21.032258064516135
03.04.2020,6.249999999999992,0.0,6.329113924050632,0.0,0.0,13.056379821958467,6.249999999999986,40.0,14.285714285714299,20.45454545454544,13.008130081300784,9.090909090909099,5.263157894736837,20.78547610226011,0,15.176151761517625,18.867924528301867,23.8095238095238,22.448979591836736,5.504850880344962,100.0,0.0,0,0.0,3.333333333333325,0,33.333333333333364,0.0,11.11111111111112,9.090909090909097,18.000000000000004,24.56140350877191,17.703349282296653,15.652173913043466,13.333333333333321,25.80645161290322,0.0,17.647058823529406,8.214147661383846,16.23376623376624,10.261194029850738,19.382022471910094,22.72727272727272,19.05650319829425
04.04.2020,17.64705882352941,0.0,10.7142857142857,0.0,25.000000000000007,12.248468941382317,23.52941176470589,21.42857142857143,49.999999999999986,11.32075471698113,15.827338129496418,8.333333333333316,25.000000000000007,16.16564417177913,0,13.254901960784304,7.936507936507929,23.07692307692308,14.16666666666667,4.638648593420049,-16.666666666666657,0.0,0.0,22.2222222222222,0.0,0,49.999999999999964,0.0,11.140939597315437,41.66666666666665,5.084745762711872,11.26760563380283,8.130081300813009,9.774436090225576,26.470588235294123,12.820512820512834,0.0,10.0,6.688694409716031,4.1899441340782,12.690355329949254,17.88235294117647,18.518518518518515,17.036042086411456
05.04.2020,0.0,0.0,9.677419354838719,40.0,60.0,12.782540919719404,9.52380952380954,17.647058823529413,25.000000000000007,13.559322033898322,11.180124223602485,15.384615384615389,12.000000000000014,6.852389754423019,100.0,9.695290858725762,7.352941176470599,6.250000000000002,15.328467153284661,3.417523759927097,19.999999999999986,0.0,0.0,18.181818181818198,16.129032258064512,0,25.000000000000007,0.0,6.94444444444444,5.882352941176475,14.516129032258048,18.987341772151897,10.902255639097751,3.424657534246555,4.651162790697665,15.909090909090898,0.0,27.272727272727266,5.808989704528324,7.506702412868635,7.357357357357356,14.570858283433136,15.624999999999996,12.356541698546295
06.04.2020,4.999999999999995,14.285714285714288,7.843137254901957,0.0,62.499999999999986,12.785072563925356,26.086956521739125,9.999999999999993,6.666666666666672,16.41791044776119,4.469273743016765,26.66666666666667,-3.5714285714285894,10.292845669096753,0.0,14.267676767676784,8.219178082191789,11.76470588235296,10.126582278481019,4.0032731163844595,0.0,0.0,0.0,15.384615384615383,13.8888888888889,0,26.66666666666667,0.0,5.815923207227544,27.777777777777768,7.042253521126761,13.829787234042545,5.42372881355931,16.556291390728497,4.444444444444446,13.725490196078438,100.0,7.142857142857152,5.537536587295306,18.952618453865345,6.993006993006986,13.066202090592341,2.7027027027026964,9.720803541028248
